,id,mean_FD
1,sub0015001,0.197515448684
2,sub0015002,0.110755217105
3,sub0015003,0.157569114474
4,sub0015004,1.19734119737
5,sub0015006,0.0968759195489
6,sub0015008,0.342979528571
7,sub0015013,0.148372018797
8,sub0015016,0.307521103008
9,sub0015017,0.182147967669
10,sub0015018,0.113337060902
11,sub0015019,0.215210680451
12,sub0015020,0.941896816541
13,sub0015021,0.446922184211
14,sub0015024,0.265697566667
15,sub0015026,0.0611303406015
16,sub0015028,0.101217898485
17,sub0015029,0.207177288636
18,sub0015031,0.169581604545
19,sub0015032,0.0926375166667
20,sub0015033,0.109843057576
21,sub0015034,0.236378068462
22,sub0015036,0.0785256492424
23,sub0015042,0.195005875758
24,sub0015044,0.185797427273
25,sub0015045,0.0619084401515
26,sub0015047,0.474214005303
27,sub0015048,0.131982161364
28,sub0015049,0.465791909091
29,sub0015063,0.334613838346
30,sub0015064,0.167953315789
31,sub0015065,0.161755585526
32,sub0015066,0.337984761842
33,sub0015067,0.13280304939
34,sub0015068,0.0911544884615
35,sub0015069,0.424489124615
36,sub0015070,0.147509257692
37,sub0015071,0.0807242553846
38,sub0015072,0.171930882308
39,sub0015073,0.204383840769
40,sub0015074,0.217522860769
41,sub0015075,0.05355095
42,sub0015076,0.0427485369231
43,sub0015077,0.0679101823077
44,sub0015078,0.0985899961538
45,sub0015079,0.179902626154
46,sub0015080,0.179604716923
47,sub0015081,0.130084231538
48,sub0015082,0.0757404618421
49,sub0015083,0.592780025
50,sub0015084,0.0894629013158
51,sub0015085,0.160388225735
52,sub0015086,0.321140560366
53,sub0015087,0.259740833333
54,sub0015088,0.109914323171
55,sub0015089,0.085929247561
56,sub0015090,0.069692872
57,sub0015091,0.0832071886667
58,sub0015092,0.160150316667
59,sub0015093,0.121628206
60,sub0015094,0.109842079699
61,sub0015095,0.0781028390977
62,sub0015096,0.0916715684615
63,sub0015097,0.147612106015
64,sub0015098,0.173223627068
65,sub0015099,0.156992613846
66,sub0015100,0.069118730303
67,sub0015101,0.172521271212
68,sub0015102,0.120911250758
69,sub0015103,0.144541905303
70,sub0015104,0.182328870455
71,sub0015105,0.145829887879
72,sub0015106,0.0614059090909
73,sub0015107,0.113094336364
74,sub0015108,0.17150522197
75,sub0015109,0.158377424242
76,sub45636,0.0964188833333
77,sub61357,0.108880932576
