"Id","Age","Sex","Handedness","DownloadGroup"
"M10936018",6,"F","None","group_0"
"M10918439",9,"F","Left","group_0"
"M10948071",9,"F","Right","group_0"
"M10997570",10,"F","Right","group_0"
"M10903872",11,"F","Left","group_0"
"M10909459",11,"M","Right","group_1"
"M10979454",11,"M","Left","group_1"
"M10999155",11,"M","Right","group_1"
"M10950716",11,"M","Right","group_1"
"M10961513",11,"M","Right","group_1"
"M10930249",13,"F","Right","group_2"
"M10932088",13,"F","Right","group_2"
"M10965660",14,"F","Right","group_2"
"M10957873",15,"M","Right","group_2"
"M10951580",15,"M","Right","group_2"
"M10968013",15,"F","Right","group_3"
"M10952384",15,"M","Right","group_3"
"M10966009",15,"M","Right","group_3"
"M10964326",16,"M","Right","group_3"
"M10912347",17,"F","None","group_3"
"M10979309",17,"F","Right","group_4"
"M10934795",18,"M","Right","group_4"
"M10920538",18,"M","Right","group_4"
"M10974363",18,"F","Right","group_4"
"M10939480",18,"M","Right","group_4"
"M10988199",18,"F","Right","group_5"
"M10958744",18,"M","Right","group_5"
"M10956678",19,"M","Right","group_5"
"M10917168",19,"M","Right","group_5"
"M10922512",19,"F","Right","group_5"
"M10985781",20,"F","Right","group_6"
"M10973085",20,"F","Right","group_6"
"M10958411",20,"M","Right","group_6"
"M10968357",20,"F","Right","group_6"
"M10912249",20,"F","Right","group_6"
"M10923971",20,"M","Right","group_7"
"M10919866",20,"M","Right","group_7"
"M10915454",20,"F","Right","group_7"
"M10962251",20,"F","Right","group_7"
"M10954423",21,"F","Right","group_7"
"M10920652",21,"M","Right","group_8"
"M10979005",21,"M","Right","group_8"
"M10988854",21,"M","Left","group_8"
"M10939300",21,"F","Right","group_8"
"M10999340",22,"M","Right","group_8"
"M10937679",22,"M","None","group_9"
"M10977330",22,"F","Right","group_9"
"M10959429",22,"M","Right","group_9"
"M10980093",22,"M","Right","group_9"
"M10982604",23,"M","Right","group_9"
"M10992197",23,"M","None","group_10"
"M10936303",23,"F","Right","group_10"
"M10916834",23,"M","Right","group_10"
"M10937496",23,"F","Right","group_10"
"M10968239",23,"F","Right","group_10"
"M10946714",23,"M","Right","group_11"
"M10923173",24,"F","Right","group_11"
"M10944667",24,"M","None","group_11"
"M10926919",24,"F","None","group_11"
"M10973496",25,"F","Right","group_11"
"M10903714",25,"F","Right","group_12"
"M10993358",26,"M","Right","group_12"
"M10935671",26,"F","Right","group_12"
"M10968413",26,"M","Right","group_12"
"M10962704",26,"F","Right","group_12"
"M10950525",27,"M","Right","group_13"
"M10941795",27,"F","Right","group_13"
"M10905290",28,"M","None","group_13"
"M10985428",30,"F","Right","group_13"
"M10983726",30,"F","Right","group_13"
"M10937073",30,"M","Right","group_14"
"M10922169",32,"M","Right","group_14"
"M10923657",33,"M","Right","group_14"
"M10998051",34,"M","None","group_14"
"M10931127",34,"F","Right","group_14"
"M10987635",36,"F","Right","group_15"
"M10902157",36,"F","Right","group_15"
"M10916065",37,"","Right","group_15"
"M10978174",37,"F","Left","group_15"
"M10994023",37,"F","Right","group_15"
"M10911282",39,"F","None","group_16"
"M10922816",39,"F","Right","group_16"
"M10918051",39,"F","Right","group_16"
"M10962902",40,"F","Right","group_16"
"M10955458",41,"F","Right","group_16"
"M10909727",41,"M","Right","group_17"
"M10939212",41,"F","Right","group_17"
"M10950589",41,"F","None","group_17"
"M10967827",42,"F","Right","group_17"
"M10955419",42,"M","Right","group_17"
"M10995031",42,"F","Right","group_18"
"M10990501",43,"F","Right","group_18"
"M10923429",43,"F","Right","group_18"
"M10922844",44,"F","Right","group_18"
"M10915824",44,"F","Right","group_18"
"M10958560",44,"F","Right","group_19"
"M10905488",44,"M","Right","group_19"
"M10908355",46,"M","Right","group_19"
"M10989478",46,"F","Right","group_19"
"M10916039",46,"F","Left","group_19"
"M10956263",47,"F","Right","group_20"
"M10916842",47,"M","Right","group_20"
"M10931832",47,"M","Right","group_20"
"M10953114",47,"F","Right","group_20"
"M10932850",48,"F","Right","group_20"
"M10979873",48,"F","Right","group_21"
"M10914232",48,"F","Right","group_21"
"M10978453",49,"M","Right","group_21"
"M10932995",49,"F","Right","group_21"
"M10996651",49,"F","Right","group_21"
"M10906780",49,"F","Right","group_22"
"M10999620",49,"F","Right","group_22"
"M10903645",49,"M","Right","group_22"
"M10964900",49,"F","Right","group_22"
"M10983457",50,"M","Right","group_22"
"M10982376",50,"F","Right","group_23"
"M10985676",51,"M","Right","group_23"
"M10998357",51,"F","Right","group_23"
"M10944702",51,"M","None","group_23"
"M10961200",51,"F","Right","group_23"
"M10915321",51,"F","Right","group_24"
"M10936416",51,"F","Right","group_24"
"M10920557",52,"F","Right","group_24"
"M10997836",53,"M","Right","group_24"
"M10988219",54,"F","Right","group_24"
"M10932717",54,"F","Right","group_25"
"M10946865",54,"F","Right","group_25"
"M10994956",55,"F","Right","group_25"
"M10952968",56,"F","Right","group_25"
"M10973286",56,"F","Right","group_25"
"M10995236",57,"M","Left","group_26"
"M10913013",57,"F","Right","group_26"
"M10968489",57,"F","Right","group_26"
"M10974886",57,"F","Right","group_26"
"M10915564",58,"F","Right","group_26"
"M10912828",58,"F","Right","group_27"
"M10986277",58,"F","Right","group_27"
"M10966987",59,"F","Right","group_27"
"M10977857",59,"M","None","group_27"
"M10998130",59,"F","Right","group_27"
"M10969007",59,"M","Right","group_28"
"M10980308",59,"F","Right","group_28"
"M10947122",60,"F","Right","group_28"
"M10925762",60,"F","Right","group_28"
"M10992736",61,"F","Right","group_28"
"M10953131",61,"M","Right","group_29"
"M10933436",61,"F","None","group_29"
"M10954419",62,"F","Right","group_29"
"M10905521",62,"M","Right","group_29"
"M10949794",62,"F","Right","group_29"
"M10944314",63,"F","Right","group_30"
"M10906057",63,"F","Right","group_30"
"M10990053",63,"F","Right","group_30"
"M10960099",64,"F","Right","group_30"
"M10965532",65,"F","Right","group_30"
"M10997456",65,"F","Right","group_31"
"M10921498",65,"M","Right","group_31"
"M10977681",66,"F","Right","group_31"
"M10957947",66,"F","Right","group_31"
"M10996558",66,"F","Right","group_31"
"M10986697",67,"F","Right","group_32"
"M10988939",67,"M","Right","group_32"
"M10971266",68,"F","Left","group_32"
"M10913030",68,"F","Right","group_32"
"M10981439",69,"M","Right","group_32"
"M10952189",70,"F","Right","group_33"
"M10909819",71,"M","None","group_33"
"M10944495",72,"M","Right","group_33"
"M10963059",73,"M","Right","group_33"
"M10944344",73,"M","Right","group_33"
"M10998985",74,"F","Right","group_34"
"M10979283",75,"F","Right","group_34"
"M10927800",75,"M","Right","group_34"
"M10938558",76,"M","Right","group_34"
"M10927733",76,"F","Right","group_34"
"M10933894",77,"M","Left","group_35"
"M10970363",80,"M","Right","group_35"
"M10937714",81,"M","Right","group_35"
"M10953790",81,"F","Right","group_35"
"M10916415",83,"M","Right","group_35"
"M10941473",84,"M","None","group_35"
"M10913044",12,"M","Right","group_0"
"M10964093",12,"F","Left","group_0"
"M10961530",13,"M","Right","group_0"
"M10981960",14,"F","Right","group_0"
"M10964385",15,"F","Left","group_0"
"M10981535",16,"M","Right","group_1"
"M10942673",21,"M","Right","group_1"
"M10963508",21,"F","Left","group_1"
"M10986067",22,"M","Right","group_1"
"M10950404",24,"F","Right","group_1"
"M10963228",25,"F","Right","group_2"
"M10973358",26,"F","Right","group_2"
"M10966094",44,"M","Right","group_2"
"M10971391",46,"F","Right","group_2"
