anon_id,ursi
A00008326,M10966987
A00008399,M10982604
A00010893,M10905290
A00013809,M10992736
A00018030,M10903872
A00019903,M10916415
A00021039,M10986697
A00023510,M10992197
A00025566,M10944495
A00027159,M10909459
A00027167,M10965660
A00027439,M10957873
A00027443,M10951580
A00027544,M10999340
A00027651,M10971266
A00028150,M10922844
A00028152,M10985676
A00028177,M10923173
A00028184,M10995236
A00028185,M10993358
A00028192,M10978453
A00028207,M10935671
A00028246,M10994956
A00028266,M10965532
A00028271,M10919719
A00028287,M10954423
A00028339,M10952968
A00028340,M10979283
A00028352,M10936303
A00028380,M10947122
A00028389,M10953131
A00028399,M10997836
A00028400,M10932850
A00028429,M10985781
A00028430,M10913013
A00028468,M10908355
A00028521,M10986255
A00028522,M10941473
A00028552,M10933436
A00028605,M10977857
A00028606,M10937679
A00028613,M10960099
A00028625,M10963059
A00028653,M10914620
A00028656,M10973085
A00028677,M10903394
A00028678,M10981439
A00028691,M10998130
A00028694,M10973496
A00028753,M10955458
A00028754,M10967827
A00028766,M10956678
A00028784,M10990501
A00028822,M10968489
A00028842,M10955419
A00028844,M10917168
A00028845,M10938558
A00028858,M10970363
A00028871,M10997377
A00028912,M10988939
A00028929,M10944314
A00028994,M10988219
A00028995,M10932995
A00029075,M10909819
A00029076,M10958411
A00029092,M10968357
A00029104,M10915824
A00029126,M10998051
A00029127,M10916834
A00029215,M10932717
A00029219,M10933894
A00029230,M10998357
A00029231,M10937496
A00029303,M10922512
A00029304,M10922169
A00029473,M10998168
A00029979,M10912249
A00030912,M10954419
A00030913,M10934795
A00030947,M10987635
A00030980,M10930249
A00030981,M10968013
A00030989,M10985428
A00030990,M10977681
A00031145,M10920538
A00031166,M10920652
A00031167,M10956263
A00031216,M10974363
A00031217,M10939480
A00031219,M10912347
A00031272,M10977330
A00031273,M10982274
A00031410,M10918439
A00031411,M10948071
A00031452,M10983457
A00031459,M10923971
A00031549,M10968239
A00031578,M10997570
A00031604,M10903714
A00031605,M10911282
A00031607,M10901165
A00031625,M10983726
A00031629,M10931060
A00031683,M10944702
A00031686,M10947016
A00031794,M10906057
A00031832,M10931992
A00031871,M10923657
A00031872,M10969007
A00031881,M10952384
A00031893,M10961200
A00031894,M10909727
A00032007,M10919866
A00032008,M10936018
A00032010,M10927733
A00032817,M10979454
A00032862,M10982376
A00032864,M10915765
A00032875,M10978174
A00032876,M10925762
A00033011,M10939212
A00033021,M10998985
A00033022,M10963843
A00033180,M10988199
A00033231,M10958744
A00033232,M10950525
A00033247,M10959429
A00033248,M10979005
A00033589,M10915564
A00033609,M10916842
A00033640,M10988854
A00033643,M10968413
A00033644,M10994072
A00033647,M10913030
A00033673,M10957947
A00033714,M10966009
A00033734,M10990053
A00033735,M10952189
A00033747,M10962704
A00033748,M10912828
A00033752,M10997456
A00033764,M10979873
A00033832,M10922816
A00033834,M10915321
A00033849,M10974886
A00033850,M10948329
A00033903,M10986277
A00033962,M10921498
A00033963,M10996558
A00033998,M10905521
A00034073,M10964326
A00034074,M10979309
A00034093,M10927800
A00034193,M10941795
A00034350,M10999155
A00034385,M10931127
A00034400,M10980308
A00034826,M10909532
A00034827,M10931832
A00034854,M10939300
A00034987,M10995031
A00035036,M10937073
A00035054,M10937714
A00035072,M10902157
A00035076,M10944344
A00035291,M10932088
A00035292,M10950716
A00035337,M10953790
A00035363,M10980093
A00035364,M10913044
A00035377,M10964385
A00035378,M10946865
A00035437,M10973286
A00035440,M10949794
A00035504,M10906780
A00035522,M10914269
A00035535,M10923429
A00035553,M10946714
A00035561,M10961513
A00035562,M10936416
A00035588,M10906712
A00035589,M10982680
A00035606,M10914232
A00035608,M10944667
A00035625,M10999620
A00035633,M10903645
A00035699,M10971391
A00035744,M10964900
A00035765,M10962902
A00035796,M10962226
A00035798,M10905488
A00035826,M10903651
A00035827,M10916065
A00035829,M10926919
A00035830,M10915454
A00035831,M10962251
A00035832,M10970605
A00035834,M10918051
A00035840,M10963228
A00035869,M10964093
A00035879,M10986067
A00035881,M10950404
A00035926,M10942673
A00035940,M10981535
A00035941,M10981960
A00035943,M10973358
A00035945,M10961530
A00035951,M10966094
A00035960,M10963508
A00036548,M10921371
A00036547,M10908439
A00037081,M10953980
A00037088,M10965027
A00037098,M10941099
A00037110,M10930678
A00037111,M10923048
A00037112,M10967693
A00037115,M10935883
A00037116,M10901899
A00037117,M10983506
A00037118,M10941771
A00037119,M10919153
A00037120,M10903580
A00037122,M10988689
A00037123,M10909371
A00037124,M10923408
A00037125,M10925951
A00037126,M10998200
A00037160,M10900464
A00037170,M10942968
A00037191,M10964673
A00037198,M10923694
A00037233,M10994023
A00037227,M10989478
A00037228,M10916039
A00037229,M10920557
A00037230,M10953114
A00037231,M10950589
A00037232,M10958560
A00037234,M10996651
A00037235,M10996878
A00037244,M10963613
A00037266,M10923116
A00037267,M10925107
A00037368,M10924714
A00037375,M10910809
A00037377,M10978964
A00037378,M10958726
