site,id,age,sex,handedness,eyes
BeijingEOEC,1,2,3,NA,NA
Berlin,1,4,5,6,2
ann_arbor_a,1,3,4,5,NA
baltimore,1,3,4,NA,NA
bangor,1,3,4,NA,NA
beijing,1,3,4,NA,NA
berlin,1,3,4,NA,NA
cambridge,1,3,4,NA,NA
cleveland,1,3,4,NA,NA
icbm,1,3,4,5,NA
leiden_a,1,3,4,NA,NA
leiden_b,1,3,4,NA,NA
munchen,1,3,4,NA,NA
newark,1,3,4,NA,NA
new_haven_b,1,3,4,NA,NA
new_york_a_adhd,1,4,3,NA,NA
new_york_a,1,4,3,NA,NA
new_york_b,1,3,4,NA,NA
orangeburg,1,3,4,NA,NA
queensland,1,3,4,NA,NA
saint_louis,1,3,4,NA,NA
QuironValencia,1,2,3,NA,NA
Rockland,1,Age,3,4,NA
VirginiaTech,1,2,3,NA,NA
